fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
66010,Guam,Guam,1589.0,563940.0,2349.75,-760.75,RENT
15001,Hawaii,Hawaii County,2076.0,1318586.0,5494.108333333334,-3418.1083333333336,RENT
15005,Hawaii,Kalawao County,2492.0,1812569.0,7552.370833333334,-5060.370833333334,RENT
15007,Hawaii,Kauai County,2332.0,753956.0,3141.4833333333336,-809.4833333333336,RENT
15009,Hawaii,Maui County,2624.0,899885.0,3749.5208333333335,-1125.5208333333335,RENT
16001,Idaho,Ada County,1655.0,557329.0,2322.204166666667,-667.2041666666669,RENT
16003,Idaho,Adams County,973.0,285708.0,1190.45,-217.45000000000005,RENT
16005,Idaho,Bannock County,1173.0,213721.0,890.5041666666667,282.4958333333333,BUY
16007,Idaho,Bear Lake County,973.0,634395.0,2643.3125,-1670.3125,RENT
16009,Idaho,Benewah County,1079.0,512775.0,2136.5625,-1057.5625,RENT
16011,Idaho,Bingham County,973.0,311340.0,1297.25,-324.25,RENT
16013,Idaho,Blaine County,1600.0,727556.0,3031.4833333333336,-1431.4833333333336,RENT
16015,Idaho,Boise County,1655.0,357858.0,1491.075,163.92499999999995,BUY
16017,Idaho,Bonner County,1257.0,508727.0,2119.6958333333337,-862.6958333333337,RENT
16019,Idaho,Bonneville County,1305.0,426450.0,1776.875,-471.875,RENT
16021,Idaho,Boundary County,973.0,188435.0,785.1458333333334,187.85416666666663,BUY
16023,Idaho,Butte County,1304.0,541193.0,2254.9708333333333,-950.9708333333333,RENT
16025,Idaho,Camas County,1071.0,379296.0,1580.3999999999999,-509.39999999999986,RENT
16027,Idaho,Canyon County,1655.0,793322.0,3305.5083333333337,-1650.5083333333337,RENT
16029,Idaho,Caribou County,973.0,214624.0,894.2666666666668,78.73333333333323,BUY
16031,Idaho,Cassia County,1028.0,292947.0,1220.6125,-192.61249999999995,RENT
16033,Idaho,Clark County,973.0,540538.0,2252.241666666667,-1279.2416666666668,RENT
16035,Idaho,Clearwater County,1077.0,540798.0,2253.3250000000003,-1176.3250000000003,RENT
16037,Idaho,Custer County,1079.0,478303.0,1992.9291666666668,-913.9291666666668,RENT
16039,Idaho,Elmore County,1192.0,704964.0,2937.3500000000004,-1745.3500000000004,RENT
16041,Idaho,Franklin County,1241.0,369497.0,1539.5708333333334,-298.57083333333344,RENT
16043,Idaho,Fremont County,973.0,329508.0,1372.95,-399.95000000000005,RENT
16045,Idaho,Gem County,1190.0,645469.0,2689.454166666667,-1499.4541666666669,RENT
16047,Idaho,Gooding County,1026.0,202185.0,842.4375,183.5625,BUY
16049,Idaho,Idaho County,1049.0,299939.0,1249.7458333333334,-200.7458333333334,RENT
16051,Idaho,Jefferson County,1305.0,332364.0,1384.8500000000001,-79.85000000000014,RENT
16053,Idaho,Jerome County,1186.0,519879.0,2166.1625,-980.1624999999999,RENT
16055,Idaho,Kootenai County,1547.0,529013.0,2204.2208333333333,-657.2208333333333,RENT
16057,Idaho,Latah County,1011.0,196311.0,817.9625000000001,193.0374999999999,BUY
